Yarn ID,Discontinued,Grams,Machine Washable,Average Rating,Yardage,Yarn Weight
120190,True,50.0,False,4.79,120.0,DK
139966,False,100.0,False,4.81,428.0,Fingering
80751,False,114.0,False,4.85,385.0,Fingering
75357,False,100.0,True,4.72,274.0,Sport
143476,False,100.0,False,4.89,437.0,Fingering
116399,False,100.0,True,4.87,438.0,Fingering
132464,False,115.0,True,4.86,231.0,DK
125925,False,100.0,True,4.95,435.0,Fingering
62674,False,100.0,True,4.89,465.0,Fingering
129782,False,100.0,False,4.85,459.0,Fingering
126868,False,100.0,True,4.87,463.0,Light Fingering
172524,False,100.0,True,4.79,210.0,Worsted
126840,False,100.0,False,4.48,400.0,Fingering
132476,False,100.0,True,4.92,437.0,Fingering
142136,False,100.0,True,4.85,463.0,Light Fingering
107291,False,100.0,True,4.81,400.0,Fingering
144516,False,100.0,False,4.6,430.0,Fingering
95194,False,100.0,False,4.62,437.0,Fingering
50424,False,112.0,False,4.72,385.0,Sport
97217,False,100.0,True,4.82,490.0,Light Fingering
40341,True,184.0,True,4.41,510.0,Fingering
55675,False,50.0,False,4.95,164.0,DK
148651,False,200.0,True,4.19,875.0,Fingering
88292,False,250.0,False,4.91,540.0,Worsted
143354,False,100.0,True,4.75,463.0,Light Fingering
136821,False,100.0,False,4.67,465.0,Light Fingering
121380,False,100.0,True,4.58,420.0,Fingering
150066,False,120.0,True,4.72,393.0,Fingering
53504,False,100.0,True,4.86,460.0,Fingering
139451,False,100.0,True,4.97,463.0,Light Fingering
125164,False,100.0,False,4.79,383.0,Fingering
141670,False,100.0,False,4.84,465.0,Light Fingering
76887,False,100.0,True,4.81,231.0,DK
74040,False,113.0,False,4.64,330.0,DK
118326,False,150.0,True,4.73,114.0,Super Bulky
166659,False,100.0,True,3.98,440.0,Fingering
17052,True,100.0,False,4.74,215.0,Aran
122820,False,115.0,True,4.93,250.0,DK
53800,False,100.0,True,4.68,460.0,Light Fingering
138234,False,115.0,False,4.73,238.0,Worsted
4267,True,100.0,False,4.47,109.0,Super Bulky
78206,False,113.0,False,4.32,630.0,Lace
145592,False,100.0,False,4.91,435.0,Fingering
126551,False,100.0,True,4.87,410.0,Fingering
50333,True,100.0,True,4.65,210.0,Aran
139757,False,100.0,True,4.86,394.0,Fingering
166855,False,200.0,True,4.31,874.0,Sport
4756,False,125.0,False,4.7,246.0,DK
130610,False,100.0,True,4.73,219.0,DK
107900,False,115.0,True,4.93,405.0,Fingering
143616,False,115.0,True,4.9,416.0,Fingering
91740,False,115.0,True,4.81,420.0,Fingering
18238,True,100.0,True,4.64,395.0,Fingering
89844,True,100.0,True,4.8,656.0,Lace
149564,False,100.0,True,4.92,399.0,Fingering
8951,False,100.0,True,4.46,490.0,Light Fingering
117954,False,100.0,True,4.86,463.0,Light Fingering
304,False,113.0,False,4.39,225.0,Bulky
136214,False,100.0,False,4.87,409.0,Fingering
146551,False,100.0,True,4.79,440.0,Light Fingering
139573,False,100.0,True,4.91,460.0,Fingering
82964,False,100.0,True,4.87,400.0,Fingering
103899,False,100.0,True,4.85,425.0,Fingering
83584,False,150.0,False,4.71,500.0,Fingering
110722,False,100.0,True,4.85,200.0,Worsted
159228,False,100.0,True,4.3,435.0,Fingering
58143,True,100.0,False,4.63,435.0,Fingering
98507,False,100.0,False,4.82,232.0,DK
76791,False,100.0,True,4.61,492.0,Light Fingering
